id,date,sales,category,price
SKU_001,2023-01-01,165,Food,419.87
SKU_001,2023-01-02,156,Food,406.23
SKU_001,2023-01-03,133,Food,406.78
SKU_001,2023-01-04,144,Food,393.86
SKU_001,2023-01-05,158,Food,390.33
SKU_001,2023-01-06,162,Food,426.36
SKU_001,2023-01-07,232,Food,428.55
SKU_001,2023-01-08,283,Food,413.0
SKU_001,2023-01-09,194,Food,388.96
SKU_001,2023-01-10,229,Food,404.35
SKU_001,2023-01-11,197,Food,427.79
SKU_001,2023-01-12,209,Food,391.72
SKU_001,2023-01-13,236,Food,403.64
SKU_001,2023-01-14,784,Food,407.09
SKU_001,2023-01-15,505,Food,415.81
SKU_001,2023-01-16,149,Food,388.56
SKU_001,2023-01-17,172,Food,411.03
SKU_001,2023-01-18,147,Food,388.67
SKU_001,2023-01-19,139,Food,397.87
SKU_001,2023-01-20,160,Food,412.94
SKU_001,2023-01-21,201,Food,395.1
SKU_001,2023-01-22,176,Food,395.47
SKU_001,2023-01-23,164,Food,405.39
SKU_001,2023-01-24,139,Food,411.21
SKU_001,2023-01-25,150,Food,422.42
SKU_001,2023-01-26,172,Food,404.16
SKU_001,2023-01-27,197,Food,417.73
SKU_001,2023-01-28,199,Food,411.32
SKU_001,2023-01-29,211,Food,427.28
SKU_001,2023-01-30,193,Food,418.55
SKU_001,2023-01-31,177,Food,411.99
SKU_001,2023-02-01,173,Food,412.82
SKU_001,2023-02-02,142,Food,400.12
SKU_001,2023-02-03,137,Food,388.66
SKU_001,2023-02-04,178,Food,404.15
SKU_001,2023-02-05,171,Food,388.6
SKU_001,2023-02-06,138,Food,417.08
SKU_001,2023-02-07,165,Food,412.77
SKU_001,2023-02-08,172,Food,414.61
SKU_001,2023-02-09,171,Food,422.74
SKU_001,2023-02-10,150,Food,391.92
SKU_001,2023-02-11,176,Food,415.34
SKU_001,2023-02-12,192,Food,412.17
SKU_001,2023-02-13,142,Food,410.95
SKU_001,2023-02-14,147,Food,427.71
SKU_001,2023-02-15,168,Food,417.5
SKU_001,2023-02-16,140,Food,398.48
SKU_001,2023-02-17,131,Food,417.05
SKU_001,2023-02-18,161,Food,405.97
SKU_001,2023-02-19,166,Food,424.61
SKU_001,2023-02-20,151,Food,411.03
SKU_001,2023-02-21,161,Food,393.71
SKU_001,2023-02-22,157,Food,410.07
SKU_001,2023-02-23,139,Food,426.53
SKU_001,2023-02-24,157,Food,416.4
SKU_001,2023-02-25,234,Food,413.52
SKU_001,2023-02-26,198,Food,392.33
SKU_001,2023-02-27,173,Food,396.94
SKU_001,2023-02-28,171,Food,424.1
